scholar_id,name,gender,affiliation,url_picture,i10index,i10index5y,hindex,hindex5y,citedby,citedby5y,num_publications
stT2bnoAAAAJ,Gunther Eggeler,M,"Institute for Materials, Ruhr-University Bochum (RUB)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=stT2bnoAAAAJ&citpid=10,310,225,72,49,21876,12366,742
_bs1TE0AAAAJ,Lidija Petkovska,F,"Professor of Electrical Machines and Drives, Ss. Ciril and Methodius University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_bs1TE0AAAAJ&citpid=3,15,5,11,7,689,243,148
WWKtZZYAAAAJ,James Dedrick,M,University of York,,8,6,9,8,246,193,56
C8Ir-n4AAAAJ,Finn Kuusisto,M,FANTM,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=C8Ir-n4AAAAJ&citpid=4,7,7,7,7,143,127,32
NlBmV2QAAAAJ,João Saraiva,M,HASLab / INESC TEC and Universidade do Minho,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NlBmV2QAAAAJ&citpid=2,62,27,27,18,2435,1085,205
5ViOjzUAAAAJ,Alvaro del Val,M,Profesor de Ingeniería Informática (UAM),,21,2,17,4,863,64,32
rAajHKEAAAAJ,Monica Mars,F,"Researcher Satiety and Eating Behaviour, Wageningen University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rAajHKEAAAAJ&citpid=2,60,57,33,29,3759,2156,146
U83bK38AAAAJ,Dirk Van Hertem,M,KU Leuven & EnergyVille,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=U83bK38AAAAJ&citpid=2,98,83,37,32,6580,4846,344
iW0H-jgAAAAJ,George Kalliris,M,"Professor of Media Technologies, Aristotle University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=iW0H-jgAAAAJ&citpid=2,32,22,19,14,2054,1121,96
4SCKy8AAAAAJ,Panagiotis Bamidis,M,"Prof Medical Physics, Medical Informatics, Medical Education, Aristotle University of Thessaloniki",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4SCKy8AAAAAJ&citpid=2,154,106,41,33,7144,4519,621
lS1rJKQAAAAJ,Jens Lagergren,M,"KTH, Royal Institute of Technology",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lS1rJKQAAAAJ&citpid=5,54,38,37,20,4727,1550,88
v3wbdoIAAAAJ,Andrew Moss,M,"Lektor in Computer Science, Blekinge Institute of Technology",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=v3wbdoIAAAAJ&citpid=2,9,4,9,6,464,119,17
lMLRsQQAAAAJ,Daniel Pereira,M,PhD Student @ University of Porto,,3,3,5,5,521,357,22
XS9QH_UAAAAJ,Bram Adams,M,Queen's University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XS9QH_UAAAAJ&citpid=2,125,106,53,44,8172,5698,278
JpcOG-MAAAAJ,Janne Riihijärvi,M,"Institute for Networked Systems, RWTH Aachen University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JpcOG-MAAAAJ&citpid=2,107,55,39,22,5627,1954,256
pBn5B2EAAAAJ,Athanasios Lagopoulos,M,"PhD  Student, School of Informatics, Aristotle University of Thessaloniki",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pBn5B2EAAAAJ&citpid=6,2,2,5,5,47,47,11
wRrEbaAAAAAJ,Antoine Lambert,M,Université Bordeaux 1,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wRrEbaAAAAAJ&citpid=1,11,8,11,9,594,285,21
9nnSYmMAAAAJ,Marcela Hernandez Hoyos,F,Systems and Computing Engineering Department - Universidad de los Andes,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9nnSYmMAAAAJ&citpid=4,25,10,16,10,1414,671,147
MzD8rjoAAAAJ,David Tse,M,"Thomas Kailath and Guanghan Xu Professor, Stanford University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MzD8rjoAAAAJ&citpid=5,242,145,84,50,73369,17781,442
x3X-qysAAAAJ,Xiaopeng HONG (洪晓鹏),M,"Xi'an Jiaotong University, PRC",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=x3X-qysAAAAJ&citpid=6,40,38,23,23,2160,1947,112
lZIYYcEAAAAJ,Tobias J. Oechtering,M,"KTH Royal Institute of Technology, Division Information Science and Engineering",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lZIYYcEAAAAJ&citpid=5,62,25,24,16,2337,753,194
v3o2gb8AAAAJ,Zhengya Gong,F,University of Oulu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=v3o2gb8AAAAJ&citpid=2,0,0,1,1,1,1,2
u2YE0WQAAAAJ,Edgardo Montes de Oca,M,Montimage,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=u2YE0WQAAAAJ&citpid=1,18,15,13,12,647,465,99
x0xSb7MAAAAJ,Claudio Menghi,M,"University of Luxembourg, Interdisciplinary Centre for Security, Reliability and Trust",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=x0xSb7MAAAAJ&citpid=2,19,17,14,14,424,380,57
dg4e5MgAAAAJ,Laura Cottatellucci,F,Friedrich-Alexander University of Erlangen-Nuremberg,,34,17,19,14,1755,1098,109
Q6-XB_AAAAAJ,Odilson Tadeu Valle,M,Instituto Federal de Santa Catarina,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Q6-XB_AAAAAJ&citpid=2,2,1,6,6,89,73,18
vKNi-WwAAAAJ,Daniele Spaccini,M,"Computer Science Department, University of Rome La Sapienza",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vKNi-WwAAAAJ&citpid=2,16,12,13,11,659,534,36
UAF-ud8AAAAJ,Andreas Podelski,M,"Professor of Computer Science, Freiburg University",,148,70,45,27,8293,2352,401
TyHIbXcAAAAJ,Ekrem Kocaguneli,M,"Software Development Engineer 2, Microsoft",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TyHIbXcAAAAJ&citpid=4,25,17,17,14,1707,1082,44
Sx6kHgkAAAAJ,Marc Palyart,M,"Data Scientist, Lectra, France",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Sx6kHgkAAAAJ&citpid=3,10,7,10,8,397,296,22
vX45evgAAAAJ,Walid G. Aref,M,"Professor of Computer Science, Purdue University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vX45evgAAAAJ&citpid=3,158,84,60,31,14294,3768,317
HA9NPoEAAAAJ,Reinhard Schneider,M,"Head of Bioinformatics Core Facility, Luxembourg Centre for Systems Biomedicine (LCSB), University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HA9NPoEAAAAJ&citpid=3,92,61,48,34,14969,5442,204
A33eXhEAAAAJ,stephane perennes,M,cnrs,,85,20,29,12,3540,940,223
Qe1PyNQAAAAJ,Guillaume Fertin,M,"University of Nantes, LS2N, France",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Qe1PyNQAAAAJ&citpid=2,53,28,29,17,2881,1073,173
BkWNdX4AAAAJ,Steven Jacques,M,"Affiliate Professor, University of Washington",,288,145,84,46,35698,10937,735
KubLyU0AAAAJ,Haroon Rasheed,M,Professor Bahria University Karachi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KubLyU0AAAAJ&citpid=2,10,6,10,8,333,240,105
yClETX4AAAAJ,James Franek,M,West Virginia University,,6,6,6,6,201,135,22
XRyUF6gAAAAJ,Mark Handley,M,"Professor of Networked Systems, University College London",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XRyUF6gAAAAJ&citpid=2,137,73,78,35,58341,8260,257
fq9RjXsAAAAJ,Katerina Mania,F,"Associate Professor of Computer Science (HCI and VEs), Technical University of Crete",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fq9RjXsAAAAJ&citpid=3,36,21,22,14,1814,914,151
GbIWqNIAAAAJ,David Sedarsky,M,Chalmers University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GbIWqNIAAAAJ&citpid=2,15,13,14,11,785,367,46
EHL1H38AAAAJ,Alexis Muller,M,Axellience,,14,3,12,6,350,98,34
ZmWyNaoAAAAJ,Mark Linne,M,Professor of Combustion Engines,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZmWyNaoAAAAJ&citpid=2,64,40,34,21,3836,1540,183
Fxe4WUMAAAAJ,Dr. Sulayman K. Sowe,M,University of Bayreuth,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Fxe4WUMAAAAJ&citpid=5,18,9,14,9,875,338,60
ojzcStQAAAAJ,Folkert Ten Cate,M,Erasmus medical Center,,235,130,83,47,61385,27402,556
CHn1c0IAAAAJ,Arkadev Chattopadhyay,M,Associate Professor at Tata Institute of Fundamental Research,,22,13,15,11,702,410,60
Kv99D9YAAAAJ,Satya Joshi,F,University of Oulu,,7,5,8,7,204,132,16
nZ5lma4AAAAJ,Ramon Ferrus,M,Universitat Politècnica de Catalunya,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nZ5lma4AAAAJ&citpid=2,50,29,24,18,2072,1201,221
V3XguCgAAAAJ,Ali Siadat,M,Professor at Arts et Métiers,,56,40,25,21,2358,1480,231
FVkH9NEAAAAJ,Maria Karampela,F,University of Oulu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FVkH9NEAAAAJ&citpid=1,1,1,4,4,52,51,12
OvSCQqoAAAAJ,George  P. Alexiou,M,"Professor of Computer Eng, Universtity of Patras, Greece",,5,1,6,3,182,31,28
kwha-i8AAAAJ,Heinrich Hussmann,M,"Professor of Computer Science, Ludwig-Maximilians-Universität München",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kwha-i8AAAAJ&citpid=2,129,68,43,27,6718,3107,418
WF1qv0oAAAAJ,Benjamin J. Blencowe,M,"Professor, University of Toronto",,156,128,78,56,30742,14824,233
mBupvWoAAAAJ,Sven Dirkmann,M,Ruhr-Universität Bochum,,7,7,8,8,214,213,11
lktZ37UAAAAJ,Ribault judicaël,M,Université de Bordeaux,,9,5,9,7,224,155,33
y6UkvosAAAAJ,Georgios C. Kryonidis,F,"Postdoctoral Researcher,  Aristotle University of Thessaloniki",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=y6UkvosAAAAJ&citpid=2,8,8,8,8,232,232,41
UCkr7eUAAAAJ,Sven Köhler,M,"Department of Computer Science, University of Freiburg",,5,2,6,4,91,49,29
AAAdF_sAAAAJ,Giovanni Pighizzini,M,"Professor of Computer Science, Università degli Studi di Milano",https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=AAAdF_sAAAAJ&citpid=2,34,16,21,12,1227,413,102
ww2CKPEAAAAJ,Stephan Wong,M,"Associate Professor, Computer Engineering, TU Delft",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ww2CKPEAAAAJ&citpid=2,59,15,23,12,2436,629,197
5645csAAAAAJ,Rogerio Nogueira,M,"Senior Researcher, Instituto de Telecomunicações",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5645csAAAAAJ&citpid=3,107,58,30,21,3778,2050,504
wW8rQVAAAAAJ,Ahmet Ozan Bicen,M,Independent Contributor,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wW8rQVAAAAAJ&citpid=1,20,19,15,15,1019,861,39
aEvYD3IAAAAJ,Nicolau Santos,M,"INESC TEC, FCUP",,2,2,5,5,181,177,9
vS6vkY4AAAAJ,Luigi Carro,M,"Full Professor, Instituto de Informatica",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vS6vkY4AAAAJ&citpid=3,170,66,41,23,7334,2278,688
QSde4MIAAAAJ,Ari Sihvola,M,Aalto University,,191,93,52,29,15367,5013,760
-B5JgjsAAAAJ,Xiaogang Wang,M,"Associate Professor of Electronic Engineering, the Chinese University of Hong Kong",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-B5JgjsAAAAJ&citpid=1,264,250,119,108,64363,55422,339
y_qoKAoAAAAJ,christine charles,F,Australian National University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=y_qoKAoAAAAJ&citpid=1,146,87,47,27,7427,3034,367
9YcieGIAAAAJ,Luciana Oliveira,F,CEOS.PP ISCAP Polytechnic of Porto,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9YcieGIAAAAJ&citpid=6,4,3,6,6,254,234,50
fAwTv7QAAAAJ,Evelio M. G. Fernandez,M,UFPR,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fAwTv7QAAAAJ&citpid=1,17,13,14,12,549,413,78
N7cQZPwAAAAJ,Rui Santos,M,Researcher at National University of Singapore,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=N7cQZPwAAAAJ&citpid=3,32,12,16,11,1034,439,109
b2I0ybEAAAAJ,Tamar Eilam,F,IBM Fellow,,58,36,30,19,3010,1365,106
Vkzd7MIAAAAJ,Shiguang Shan,M,"Professor of Institute of Computing Technology, Chinese Academy of Sciences",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Vkzd7MIAAAAJ&citpid=17,257,200,77,58,23593,14675,454
YGjr_pUAAAAJ,Walid Taha,M,Halmstad University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YGjr_pUAAAAJ&citpid=3,62,29,32,16,4543,1253,202
kzkqyg8AAAAJ,Toshimitsu Masuzawa,F,Osaka University,,64,20,23,13,2146,643,351
OJbWSLoAAAAJ,Daniele Marinazzo,M,"Professor of Neuroimaging Data Analysis, Ghent University, email daniele.marinazzo@ugent.be",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=OJbWSLoAAAAJ&citpid=2,91,80,39,35,5212,3772,266
ni6owYQAAAAJ,Edwin Franklin Barry,M,"Associate Professor, Appalachian State University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ni6owYQAAAAJ&citpid=1,38,19,21,14,1801,448,67
BI9lEFkAAAAJ,Grigorios Zouros,M,"SMIEEE, Postdoctoral researcher, Dept. of Electromagnetics, National Technical University of Athens",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BI9lEFkAAAAJ&citpid=3,14,8,11,9,329,264,85
1mUDClIAAAAJ,Diogo Varajão,M,Head of Technical Marketing Isolation @ Infineon Technologies AG,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1mUDClIAAAAJ&citpid=24,9,9,9,9,230,199,22
JoGOcbUAAAAJ,Faraz Zaidi,M,"Data Scientist - Health Analytics @ Region of Peel, Canada",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JoGOcbUAAAAJ&citpid=4,19,12,13,11,731,450,37
YNN-PmYAAAAJ,Alfred Strauss,M,Unknown affiliation,,60,37,25,18,2572,1353,404
mAnk6hIAAAAJ,Jouni Similä,M,"Professor of Software Engineering, University of Oulu",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mAnk6hIAAAAJ&citpid=2,17,7,13,8,875,222,66
Cv4u5v8AAAAJ,Martin Ziegler,M,"Professor, TU Ilmenau",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Cv4u5v8AAAAJ&citpid=4,29,24,21,19,1207,914,64
B7a_MgcAAAAJ,Stephan Palm,M,"Wissenschaftlicher Mitarbeiter, Fraunhofer FHR",,9,9,9,9,319,257,21
Jq4AGtgAAAAJ,Kisung Lee,M,IBS Center for Soft and Living Matter,,8,8,8,8,215,212,21
ZgdOMVQAAAAJ,Sébastien Kubicki,M,"Lab-STICC UMR6285 / ENIB / CERV, Brest (Plouzané)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZgdOMVQAAAAJ&citpid=4,17,9,14,9,471,226,47
QrhenzoAAAAJ,Carlos H. M. de Lima,M,University of Oulu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QrhenzoAAAAJ&citpid=2,19,12,13,10,504,295,62
5D6r8BwAAAAJ,Jack M Fletcher,M,"Department of Psychology, University of Houston",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5D6r8BwAAAAJ&citpid=2,466,316,136,73,72388,19805,566
SNtSdVsAAAAJ,Kaveh Pahlavan,M,"Professor of Electrical and Computer Engineering, Worcester Polytechnic Institute, Worcester, MA",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SNtSdVsAAAAJ&citpid=2,207,99,67,35,20071,5331,467
SGHik90AAAAJ,Apostolos Fournaris,M,"Industrial Systems Institute, R.C. ATHENA/Monash University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SGHik90AAAAJ&citpid=3,24,12,14,10,809,470,110
qve7NbYAAAAJ,Teresa Paula Azevedo Perdicoulis,F,Professor at UTAD,,14,9,13,9,564,275,86
kR6648UAAAAJ,Luís Pessoa,M,"Senior Reseacher, INESC TEC, University of Porto",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kR6648UAAAAJ&citpid=2,19,16,12,11,469,385,101
t2fQaCIAAAAJ,Deborah O'Connell,F,Dublin City University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=t2fQaCIAAAAJ&citpid=1,72,60,35,27,4007,2610,224
bO2eGeMAAAAJ,Wei Cao,F,"Senior Research Fellow, Docent in Material Physics, University of Oulu",,56,48,23,19,1622,1283,161
Nw5vcy0AAAAJ,Timo Ahonen,M,Software Engineering Manager at Facebook,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Nw5vcy0AAAAJ&citpid=3,27,21,23,16,13670,6528,70
QQipoHYAAAAJ,Jorge Silva,M,"CRACS - INESC-TEC & Computer Science Department, FCUP, University of Porto, Portugal",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QQipoHYAAAAJ&citpid=1,1,1,4,4,34,34,7
zHqQm-AAAAAJ,Pedro Dias,M,Universidade Católica Portuguesa,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zHqQm-AAAAAJ&citpid=1,26,18,20,16,1652,995,133
EmKqka0AAAAJ,Marko Neitola,M,"Postdoctoral researcher, University of Oulu",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=EmKqka0AAAAJ&citpid=2,2,0,6,3,94,23,23
kfUs6UAAAAAJ,Tomohiro Nakatani,M,NTT Communication Science Laboratories,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kfUs6UAAAAAJ&citpid=2,157,97,43,34,7667,4856,397
AvWVYIkAAAAJ,Mohammad Ashjaei,M,Senior Lecturer at Mälardalen University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AvWVYIkAAAAJ&citpid=4,12,10,11,10,460,358,73
y8yqkB4AAAAJ,Rafael Murrieta-Cid,M,"Professor, Centro de Investigación en Matemáticas",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=y8yqkB4AAAAJ&citpid=2,41,22,26,15,1959,662,93
hrwUrF8AAAAJ,Jean Bezivin,M,University of Nantes,,105,45,49,22,12595,2754,288
dhkSpxYAAAAJ,Carlos Guedes,M,New York University Abu Dhabi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dhkSpxYAAAAJ&citpid=1,33,14,15,11,1047,586,194
dumYrW8AAAAJ,Lawrence H. Erickson,M,"Graduate Student, Computer Science, University of Illinois",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dumYrW8AAAAJ&citpid=2,8,6,8,6,237,127,10
SkQ6OisAAAAJ,Jorge Goncalves,M,"Senior Lecturer, School of Computing and Information Systems, University of Melbourne",https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=SkQ6OisAAAAJ&citpid=12,74,68,27,26,2871,2478,171
zVNCDMsAAAAJ,Michail Papamichail,M,"Ph.D. Candidate - Intelligent Systems & Software Engineering Labgroup, Aristotle University of",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zVNCDMsAAAAJ&citpid=2,2,2,4,4,72,72,17
xDUhwG4AAAAJ,Vasileios Mygdalis,M,Aristotle University of Thessaloniki,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xDUhwG4AAAAJ&citpid=2,10,9,10,9,276,272,32
NvvMl24AAAAJ,Ian Oppermann,M,"NSW Government, University of Technology Sydney",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NvvMl24AAAAJ&citpid=2,59,15,27,13,4613,771,185
WBhGYE8AAAAJ,Adam Wojciechowski(2),M,Poznan University of Technology,,13,7,12,7,764,203,46
wdOajQsAAAAJ,Steffen Dienst,M,University of Leipzig,,9,7,9,8,490,401,24
-h2va3cAAAAJ,Stefanos Kollias,M,Professor of Computer and Electricall Engineering National Technical University of Athens,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-h2va3cAAAAJ&citpid=3,183,67,52,24,11769,3248,566
ERvZONQAAAAJ,Francesco Regazzoni,M,ALaRI - USI,,68,60,34,28,3580,2672,194
c-biaBUAAAAJ,Attaphongse Taparugssanagorn,M,Asian Institute of Technology,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=c-biaBUAAAAJ&citpid=8,26,10,15,10,791,305,84
vHJqTKcAAAAJ,Maria Giatsoglou,F,"Post doc @ Informatics Dept,  Aristotle University, Thessaloniki, Greece",,9,8,9,9,528,452,16
Jy2iDxAAAAAJ,Sylwia Bugla,F,University of Porto,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Jy2iDxAAAAAJ&citpid=2,2,1,3,2,49,28,5
wvIA190AAAAJ,Benedikt Schmidt,M,Google,,19,19,18,16,1509,1135,32
CcSZwTsAAAAJ,David J Brady,M,"J. W. and H. M. Goodman Endowed Chair in Optical Sciences, University of Arizona",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=CcSZwTsAAAAJ&citpid=9,243,140,63,43,15922,7600,632
9RgRd-8AAAAJ,Mahta Moghaddam,F,"USC, U of Michigan, JPL",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9RgRd-8AAAAJ&citpid=2,120,89,44,30,8981,5201,715
TQj5qo0AAAAJ,Gordon Blair,M,"Distinguished Professor of Distributed Systems, Lancaster University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TQj5qo0AAAAJ&citpid=2,237,58,60,23,19445,3394,590
UL5XKIsAAAAJ,Rui A. Martins,M,Unknown affiliation,,10,2,10,7,332,149,77
dgK3kM8AAAAJ,Philippe Ryvlin,M,CHUV,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dgK3kM8AAAAJ&citpid=2,217,161,67,50,17311,9384,630
f5e24TkAAAAJ,Carlos R. del Blanco,M,"Universidad Politécnica de Madrid, Grupo de Tratamiento de Imágenes",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=f5e24TkAAAAJ&citpid=2,22,16,16,13,886,723,63
Te3MRH8AAAAJ,Jean-Paul Guillet,M,"Associate Professor, University of Bordeaux,  IMS Laboratory, Laser & terahertz team, UMR CNRS 5218",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Te3MRH8AAAAJ&citpid=4,22,18,16,13,1129,944,146
HjA4xksAAAAJ,Milioudis N. Apostolos,M,Hellenic Distribution Network Operator S.A.,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HjA4xksAAAAJ&citpid=2,10,8,10,9,404,335,19
xudF7csAAAAJ,Richard Vinter,M,Imperial College,,90,33,38,19,6250,1663,102
9VDoWOEAAAAJ,Theodoros Horikis,M,University of Ioannina,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9VDoWOEAAAAJ&citpid=10,31,19,18,13,890,520,90
MSWk9YIAAAAJ,Ricardo Carelli,M,Profesor de Ingeniería de Control,,136,71,37,24,5922,2498,441
ycI37ZUAAAAJ,Ana Castro,F,Post-Doc Researcher,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ycI37ZUAAAAJ&citpid=2,4,3,7,6,255,168,88
wg_zn9AAAAAJ,Oriol Sallent,M,Professor at the Universitat Politècnica de Catalunya,,114,45,35,20,20021,7430,360
jmtMoyQAAAAJ,Konstantinos Pliakos,M,"Katholieke Universiteit, Leuven",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jmtMoyQAAAAJ&citpid=6,7,7,9,8,376,356,31
jNlTeGAAAAAJ,Greg Zacharewicz,M,"Full Professor, HDR, IMT - Ecole des Mines d'Alès",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jNlTeGAAAAAJ&citpid=2,39,25,19,16,1625,1182,373
UtQVM9kAAAAJ,Georgios Kormentzas,M,University of the Aegean,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UtQVM9kAAAAJ&citpid=1,59,18,26,14,2261,790,164
pwyfSagAAAAJ,Martin White,M,Reader in Computer Science,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pwyfSagAAAAJ&citpid=1,51,29,24,15,3034,1590,158
K2D0OGgAAAAJ,António J. S. Teixeira,M,"DETI/IEETA, Universidade de Aveiro",,67,22,21,15,2079,976,321
bNMMeDgAAAAJ,Bastien Bruneau,M,"LPICM-CNRS, Ecole Polytechnique",,17,17,13,12,474,430,50
uWH3Nz0AAAAJ,Danny Hermelin,M,Ben-Gurion University of the Negev,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uWH3Nz0AAAAJ&citpid=2,39,20,21,14,2190,986,68
yET23QYAAAAJ,Alkinoos Athanasiou,M,"Lab of Medical Physics, School of Medicine, Aristotle University of Thessaloniki",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yET23QYAAAAJ&citpid=4,9,8,9,8,273,230,74
DdQxZIgAAAAJ,Lucas Layman,M,University of North Carolina at Wilmington,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DdQxZIgAAAAJ&citpid=3,36,23,23,17,2263,922,83
gMUHViMAAAAJ,Luís Tiago Paiva,M,"Faculdade de Engenharia, Universidade do Porto",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gMUHViMAAAAJ&citpid=2,8,5,8,7,332,241,50
71mmi78AAAAJ,Paolo Ciancarini,M,Università di Bologna and Innopolis University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=71mmi78AAAAJ&citpid=1,144,39,38,17,6684,1336,453
MkztWIoAAAAJ,Dave Ferguson,M,"Co-Founder, Nuro",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MkztWIoAAAAJ&citpid=2,152,126,63,52,17289,9833,318
iI0SF3kAAAAJ,Robert Plemmons,M,"Reynolds Professor of Computer Science and Mathematics, Emeritus Wake Forest University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=iI0SF3kAAAAJ&citpid=1,147,48,54,24,21188,5676,336
_Vo5MpcAAAAJ,Tilman Frosch,M,"Horst Görtz Institute for IT Security, Ruhr-Universität Bochum",,6,5,6,6,291,182,13
P-S_A48AAAAJ,Leonardo de Mello Honorio,M,Federal University of Juiz de Fora - Faculty of Engineering,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=P-S_A48AAAAJ&citpid=1,23,19,16,13,748,522,92
lB8kw8wAAAAJ,Dimitrios Fitsios,M,Senior Hardware Engineer at Infinera,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lB8kw8wAAAAJ&citpid=1,14,8,11,9,383,217,36
hkmYgxcAAAAJ,Mara Tanelli,F,Politecnico di Milano,,74,41,29,21,3184,1469,218
-Y0YOwYAAAAJ,Bojan Resan,M,"Prof. of Laser Technology, Univeristy of Applied Sciences and Arts Northwestern Switzerland",,24,18,18,14,1639,874,95
Fueq5BAAAAAJ,Igor Nai Fovino,M,Joint Research Centre,,52,33,29,21,4114,2086,128
Ghf8y0sAAAAJ,Ivan Elhart,M,"Faculty of Informatics, Università della Svizzera italiana (USI)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ghf8y0sAAAAJ&citpid=3,17,12,14,11,683,393,40
Sph3lA0AAAAJ,Dr. Anshuman Kalla,M,"Postdoctoral Visiting Researcher, CWC, University of Oulu",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Sph3lA0AAAAJ&citpid=1,4,3,7,6,143,123,23
